,eukulele_taxonomy,mmseqs_taxonomy,total_length,total_num_contigs,total_length_5kb,total_length_10kb,total_length_50kb,GC_percent,N50,L50,num_predicted_proteins,num_proteins_annotated_pfam,proportion_proteins_annoated_pfam,num_unique_pfam,num_proteins_annotated_kegg,proportion_proteins_annoated_kegg,num_unique_kegg,busco_eukaryota_odb10_completeness,busco_eukaryota_odb10_contamination,eukcc_completeness,eukcc_contamination,eukcc_lineage,ocean_region,depth,size_fraction
TOPAZ_MSS1_E022,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;Dinophyceae;-;-;-;-,11414493,3514,779942,31438,0,57.11,3126,1461,5639,2635,46.73,427,653,11.58,1197,12.16,0.0,16.67,0.0,Eukaryota_Fungi_Microsporidia,MS,SRF,0.8-5
TOPAZ_MSS1_E023,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,40995347,7773,23928653,8748041,0,64.18,5784,2203,22322,9930,44.49,1999,3200,14.34,3069,63.14,0.39,66.67,5.26,Eukaryota,MS,SRF,0.8-5
TOPAZ_MSS1_E024,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Paraphysomonadaceae;Paraphysomonas bandaiensis,20267861,2894,15324749,8519530,53456,34.2,8624,704,10552,5598,53.05,2097,2658,25.19,2901,70.2,0.39,81.25,12.5,Eukaryota_Fungi_Microsporidia,MS,SRF,0.8-5
TOPAZ_MSS1_E025,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Isochrysidales;Noelaerhabdaceae;Emiliania huxleyi,19205354,5281,3708892,236883,0,66.62,3562,2008,9143,4022,43.99,778,1080,11.81,1762,17.25,0.0,22.73,0.0,Eukaryota_Kinetoplastida_Trypanosomatidae,MS,SRF,0.8-5
TOPAZ_MSS1_E026,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,51901868,8083,36908033,18585035,51237,62.13,7543,2052,25121,12260,48.8,2492,4266,16.98,3482,76.86,1.18,78.14,9.86,Eukaryota_Fungi_Ascomycota,MS,SRF,0.8-5
TOPAZ_MSS1_E027,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;Micromonas pusilla,16933953,2249,13059569,8016172,859651,67.81,9365,482,8422,4832,57.37,2005,2424,28.78,2782,60.0,0.78,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E028,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-,Eukaryota;-;Sar;-;Dictyochophyceae;-;Florenciellales;-;Florenciella parvula,54348515,11561,26264637,6237608,0,57.75,4877,3707,22890,11323,49.47,2088,3472,15.17,3222,63.53,1.57,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E029,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;-;-;-;-,Eukaryota;-;-;-;Cryptophyceae;-;Pyrenomonadales;Geminigeraceae;Geminigera cryophila,9346513,2416,2312634,55607,0,54.13,3871,906,3477,1180,33.94,90,137,3.94,431,3.53,0.0,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E030,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-,Eukaryota;-;Sar;-;Dictyochophyceae;-;Pedinellales;-;Florenciella parvula,14923330,2818,8545315,3181659,0,53.65,5606,810,5412,2342,43.27,588,755,13.95,1280,18.43,0.78,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E031,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;Dinophyceae;-;-;-;-,29012144,8077,5361134,437830,0,65.57,3474,3074,11409,4467,39.15,591,929,8.14,1650,18.82,0.78,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E032,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;Micromonas pusilla,19624958,1951,17347466,12579708,864485,70.89,13691,416,10043,6183,61.57,2622,3257,32.43,3280,78.82,0.0,98.25,3.51,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales,MS,SRF,0.8-5
TOPAZ_MSS4_E001,Eukaryota;Metazoa;Arthropoda;Hexanauplia;Calanoida;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,31387422,8790,5956078,521982,0,38.72,3434,3329,9823,2462,25.06,657,786,8.0,1451,19.61,0.0,19.73,4.45,Eukaryota_Fungi_Ascomycota,MS,SRF,180-2000
TOPAZ_MSS4_E002,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,6709234,2021,607879,34188,0,35.13,3193,818,2231,460,20.62,81,122,5.47,296,3.53,0.0,,,,MS,SRF,180-2000
TOPAZ_MSS4_E003,Eukaryota;Metazoa;Arthropoda;Branchiopoda;Diplostraca;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,77172423,5227,71278885,61873538,18825270,43.89,26310,817,15832,6244,39.44,3024,3635,22.96,3376,67.45,0.0,72.92,10.42,Eukaryota_Fungi_Microsporidia,MS,SRF,180-2000
TOPAZ_MSS4_E004,Eukaryota;Metazoa;Arthropoda;Hexanauplia;Calanoida;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,16702226,3894,6498229,1580329,0,38.11,4298,1278,4672,1285,27.5,234,274,5.86,607,1.57,0.0,5.26,0.0,Eukaryota_Apicomplexa,MS,SRF,180-2000
TOPAZ_MSS4_E005,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,41835148,8686,21075011,7430382,0,43.0,5033,2509,14561,6199,42.57,2147,2811,19.3,2810,44.31,0.78,45.61,8.77,Eukaryota,MS,SRF,180-2000
TOPAZ_MSS4_E006,Eukaryota;Metazoa;Arthropoda;Branchiopoda;Diplostraca;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Branchiopoda;Phyllopoda;Diplostraca;Daphniidae;Daphnia pulex,38593904,1901,37223098,34429573,12167909,37.43,34656,341,9502,4169,43.87,2328,2717,28.59,2779,54.51,0.39,54.23,2.65,Eukaryota,MS,SRF,180-2000
TOPAZ_MSS4_E007,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,2728457,792,377259,37746,0,45.74,3281,311,1428,507,35.5,174,195,13.66,410,3.14,0.0,,,,MS,SRF,180-2000
TOPAZ_MSS4_E008,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,3985896,1239,318558,67154,0,41.87,3077,511,2658,399,15.01,77,86,3.24,284,2.35,0.0,,,,MS,SRF,180-2000
TOPAZ_MSS4_E009,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,34297889,7591,15053226,3658025,0,45.91,4590,2436,13575,7216,53.16,2591,3426,25.24,3176,60.78,1.18,54.55,9.6,Eukaryota_Fungi_Ascomycota,MS,SRF,180-2000
TOPAZ_MSS4_E010,Eukaryota;Metazoa;-;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Chordata;-;-;-;-;-,50960555,11240,22631475,7183983,50714,36.53,4572,3451,22139,7467,33.73,1653,2220,10.03,2727,57.65,0.39,51.06,5.03,Eukaryota,MS,SRF,180-2000
TOPAZ_MSS4_E011,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,6594091,1913,930393,57909,0,47.41,3296,755,3411,1447,42.42,671,724,21.23,1178,21.57,0.0,,,,MS,SRF,180-2000
TOPAZ_MSS4_E012,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,8273981,2578,645780,112571,0,40.99,3056,1065,3554,719,20.23,90,109,3.07,391,2.35,0.0,,,,MS,SRF,180-2000
TOPAZ_MSS4_E013,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,11887908,3484,1418672,24844,0,41.57,3301,1388,3754,1701,45.31,600,657,17.5,1177,14.51,0.0,,,,MS,SRF,180-2000
TOPAZ_MSS3_E001,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,7070997,1910,1515354,125230,0,42.25,3622,714,3167,1241,39.19,292,336,10.61,738,5.49,0.0,,,,MS,SRF,20-180
TOPAZ_MSS3_E002,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,22557034,5465,8035969,1786107,0,38.84,4060,1811,10660,5157,48.38,1988,2482,23.28,2719,54.12,1.18,,,,MS,SRF,20-180
TOPAZ_MSS3_E003,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,7465828,2134,1239016,97285,0,47.51,3364,826,4026,1548,38.45,591,690,17.14,1113,15.29,0.0,,,,MS,SRF,20-180
TOPAZ_MSS3_E004,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,18425564,5602,1612250,142738,0,41.6,3161,2276,7693,1696,22.05,253,338,4.39,772,3.92,0.0,,,,MS,SRF,20-180
TOPAZ_MSS3_E005,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,49136601,11392,19736841,3617198,0,41.61,4380,3781,13506,6169,45.68,1904,2438,18.05,2793,47.84,0.39,52.17,4.35,Eukaryota,MS,SRF,20-180
TOPAZ_MSS3_E006,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,50420951,12699,15296646,2657066,0,32.9,3896,4447,16045,7645,47.65,2671,3382,21.08,3374,67.84,0.78,69.57,4.35,Eukaryota,MS,SRF,20-180
TOPAZ_MSS3_E007,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,4757321,1462,421526,34399,0,34.95,3138,602,2393,335,14.0,54,73,3.05,219,1.57,0.0,,,,MS,SRF,20-180
TOPAZ_MSS3_E008,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,64090423,13091,33295325,9706616,0,42.61,5148,4004,22133,9557,43.18,3061,4220,19.07,3660,71.76,1.18,64.55,7.14,Eukaryota,MS,SRF,20-180
TOPAZ_MSS3_E009,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,23777163,7198,2313014,93148,0,35.49,3169,2922,7905,2016,25.5,414,598,7.56,1055,10.98,0.0,,,,MS,SRF,20-180
TOPAZ_MSS3_E010,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,35163813,9401,8376873,1003151,0,44.92,3633,3449,14771,5303,35.9,1981,2419,16.38,2762,52.16,0.78,48.15,3.97,Eukaryota_Metazoa,MS,SRF,20-180
TOPAZ_MSS3_E011,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,51897780,11636,21979589,5830736,0,43.16,4496,3711,17438,8161,46.8,2531,3395,19.47,3211,55.29,0.78,51.58,15.76,Eukaryota_Fungi_Ascomycota_Dothideomycetes,MS,SRF,20-180
TOPAZ_MSS3_E012,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,11512349,3111,2551651,229792,0,48.62,3589,1166,5772,3139,54.38,1208,1415,24.51,1949,31.76,0.39,26.63,1.51,Eukaryota_Metazoa,MS,SRF,20-180
TOPAZ_MSS3_E013,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,41664737,8861,20010678,6623299,0,42.94,4828,2650,15102,6421,42.52,2110,2787,18.45,2801,48.63,1.18,42.71,3.85,Eukaryota_Metazoa,MS,SRF,20-180
TOPAZ_MSS3_E014,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,21614600,5781,5127554,711643,0,38.9,3609,2120,10131,4549,44.9,1479,1845,18.21,2266,40.0,0.39,34.78,0.0,Eukaryota,MS,SRF,20-180
TOPAZ_MSS3_E015,Eukaryota;Metazoa;-;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Chordata;-;-;-;-;-,7168365,2124,754564,33146,0,35.95,3287,854,4338,1825,42.07,651,719,16.57,1292,23.14,0.0,18.69,1.18,Eukaryota_Fungi,MS,SRF,20-180
TOPAZ_MSS3_E016,Eukaryota;Metazoa;Arthropoda;Hexanauplia;Calanoida;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,27950508,7834,5120186,500364,0,38.39,3436,2980,9259,2188,23.63,534,643,6.94,1309,17.65,0.0,,,,MS,SRF,20-180
TOPAZ_MSS3_E017,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,7308723,2052,1346061,93893,0,37.31,3428,786,2354,671,28.5,98,116,4.93,354,0.78,0.0,,,,MS,SRF,20-180
TOPAZ_MSS3_E018,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,48645056,13277,10444038,1217168,0,33.52,3537,4939,18232,6064,33.26,1602,2138,11.73,2544,46.27,0.78,39.79,6.94,Eukaryota_Fungi,MS,SRF,20-180
TOPAZ_MSS3_E019,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,3837498,1049,862924,210714,0,44.91,3444,382,2139,459,21.46,116,146,6.83,316,2.75,0.0,,,,MS,SRF,20-180
TOPAZ_MSS3_E020,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,7010165,1962,1248052,86813,0,48.47,3429,751,3374,1513,44.84,658,733,21.72,1156,17.65,0.0,11.73,0.34,Eukaryota_Metazoa_Porifera_Demospongiae_Haplosclerida_Niphatidae_Amphimedon_Amphimedon.queenslandica,MS,SRF,20-180
TOPAZ_MSS3_E021,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,6996586,2109,677919,66270,0,41.27,3182,851,3277,595,18.16,113,126,3.84,389,2.75,0.0,,,,MS,SRF,20-180
TOPAZ_MSS2_E001,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,4755080,1382,720031,157887,0,47.76,3242,535,2406,890,36.99,344,394,16.38,746,10.2,0.0,,,,MS,SRF,5-20
TOPAZ_MSS2_E002,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,27775890,7937,4417286,269503,0,34.06,3383,3083,11258,3863,34.31,1213,1504,13.36,2065,33.33,0.0,,,,MS,SRF,5-20
TOPAZ_MSS2_E003,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,12217757,3553,1648410,132707,0,40.93,3309,1394,4913,1053,21.43,216,248,5.05,570,2.35,0.0,,,,MS,SRF,5-20
TOPAZ_MSS2_E004,Eukaryota;Metazoa;Arthropoda;Hexanauplia;Calanoida;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,3205473,911,507015,49172,0,49.29,3401,355,1496,743,49.67,393,413,27.61,751,11.76,0.0,,,,MS,SRF,5-20
TOPAZ_MSS2_E005,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,40680749,9860,14011315,2201259,0,43.59,4126,3413,14525,7066,48.65,2287,3001,20.66,3041,55.69,1.57,50.0,7.58,Eukaryota_Fungi_Ascomycota,MS,SRF,5-20
TOPAZ_MSS2_E006,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,31501618,7317,12324157,2581147,0,39.4,4294,2423,11906,6175,51.86,2309,2884,24.22,2995,61.57,0.78,,,,MS,SRF,5-20
TOPAZ_MSS2_E007,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,51114229,11860,20364061,3460154,0,43.06,4365,3963,19103,8066,42.22,2696,3563,18.65,3354,66.67,0.39,58.99,5.56,Eukaryota,MS,SRF,5-20
TOPAZ_MSS2_E008,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,21445404,5527,6102971,595880,0,47.1,3819,1988,9676,4347,44.93,1906,2310,23.87,2658,52.55,0.0,54.39,7.02,Eukaryota,MS,SRF,5-20
TOPAZ_NAD1_E001,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Ostreococcus sp- 'lucimarinus',11109709,1397,9132397,5475892,0,60.73,9926,349,6917,4594,66.42,2280,2725,39.4,2847,78.43,0.0,87.61,1.28,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales_Bathycoccaceae_Ostreococcus,NAO,DCM,0.8-5
TOPAZ_NAD1_E003,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Bathycoccus prasinos,10728225,1915,6695274,2580520,0,48.06,6118,547,5631,3812,67.7,1857,2195,38.98,2469,63.53,0.0,,,,NAO,DCM,0.8-5
TOPAZ_NAD1_E004,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,8796940,2467,1432249,31632,0,59.33,3485,961,4305,2100,48.78,462,598,13.89,1233,14.51,0.0,,,,NAO,DCM,0.8-5
TOPAZ_NAD1_E005,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;Micromonas pusilla,19265438,1586,17836398,14150288,1143728,69.31,17202,346,10456,6444,61.63,2685,3407,32.58,3335,82.35,0.78,96.49,7.02,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales,NAO,DCM,0.8-5
TOPAZ_NAD1_E006,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas sp.,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;-,16711142,2016,13983266,8886266,167710,65.94,10512,497,9358,5771,61.67,2381,3025,32.33,3042,70.59,0.78,,,,NAO,DCM,0.8-5
TOPAZ_NAD1_E007,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Bathycoccus prasinos,9555789,2047,4614449,799291,0,48.43,4915,678,5213,3220,61.77,1573,1808,34.68,2229,54.9,0.0,57.69,0.85,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales,NAO,DCM,0.8-5
TOPAZ_NAD1_E008,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-,Eukaryota;-;-;-;Cryptophyceae;-;Pyrenomonadales;Geminigeraceae;Geminigera cryophila,20679987,5557,4518100,252191,0,58.38,3654,2091,11071,4880,44.08,1331,1742,15.73,2182,43.14,0.78,54.55,11.36,Eukaryota_Kinetoplastida_Trypanosomatidae,NAO,DCM,0.8-5
TOPAZ_NAD1_E009,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;Dinophyceae;-;Suessiales;Symbiodiniaceae;Symbiodinium sp-,4849307,1479,427518,0,0,60.44,3150,605,2781,1290,46.39,391,438,15.75,949,11.76,0.0,,,,NAO,DCM,0.8-5
TOPAZ_NAD1_E010,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;-;-;-,Eukaryota;-;Sar;Bacillariophyta;Mediophyceae;Cymatosirophycidae;Cymatosirales;Cymatosiraceae;Extubocellulus spinifer,19473944,2549,15764615,8712539,178365,53.36,9055,649,9556,5489,57.44,2012,2551,26.7,2778,70.2,0.0,78.18,18.18,Eukaryota_Fungi_Microsporidia,NAO,DCM,0.8-5
TOPAZ_NAD1_E011,Eukaryota;-;-;-;-;-;-;-,Eukaryota;Fungi;Opisthokonta;Ascomycota;Leotiomycetes;-;Helotiales;Mollisiaceae;Rhynchosporium commune,46406599,3041,44272520,38004943,5693606,48.64,22470,649,18040,10528,58.36,3346,5129,28.43,3858,94.51,0.0,95.61,2.48,Eukaryota_Fungi_Ascomycota_Leotiomycetes,NAO,DCM,0.8-5
TOPAZ_NAD3_E001,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,4359153,1335,420399,58882,0,37.08,3100,542,2099,634,30.2,221,249,11.86,511,7.06,0.0,,,,NAO,DCM,20-180
TOPAZ_NAD3_E002,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,11911675,3174,3057358,478893,0,40.39,3566,1146,4431,1345,30.35,240,295,6.66,689,3.92,0.0,,,,NAO,DCM,20-180
TOPAZ_NAD3_E003,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,2888447,919,168044,12984,0,40.52,3008,387,509,81,15.91,7,9,1.77,51,0.0,0.0,,,,NAO,DCM,20-180
TOPAZ_NAD3_E004,Eukaryota;Metazoa;Arthropoda;Hexanauplia;Calanoida;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,12548371,3057,4281875,597699,0,49.64,4117,1055,5285,2848,53.89,1296,1487,28.14,2016,34.9,0.78,29.63,1.32,Eukaryota,NAO,DCM,20-180
TOPAZ_NAD3_E005,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,4214686,1227,663446,43218,0,47.73,3290,479,2106,887,42.12,416,451,21.42,784,10.2,0.0,,,,NAO,DCM,20-180
TOPAZ_NAD3_E006,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,21373687,5771,5258082,889293,0,34.16,3501,2085,8550,3680,43.04,1470,1761,20.6,2251,40.0,1.18,33.0,2.18,Eukaryota_Metazoa,NAO,DCM,20-180
TOPAZ_NAD3_E007,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,32382587,8728,7519490,975588,0,44.86,3570,3208,13299,5049,37.97,1995,2463,18.52,2745,50.2,0.78,,,,NAO,DCM,20-180
TOPAZ_NAD2_E001,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,15363175,4200,3328155,425297,0,40.88,3538,1562,6503,2189,33.66,413,608,9.35,946,6.67,0.0,8.47,0.0,Eukaryota,NAO,DCM,5-20
TOPAZ_NAD2_E002,Eukaryota;Metazoa;Arthropoda;Hexanauplia;Calanoida;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,9848934,2418,3236068,431370,0,51.31,4061,846,4244,2484,58.53,1250,1397,32.92,1872,35.69,0.39,,,,NAO,DCM,5-20
TOPAZ_NAM1_E001,Eukaryota;-;-;-;-;-;-;-,Eukaryota;Fungi;Opisthokonta;Ascomycota;Leotiomycetes;-;Helotiales;Mollisiaceae;Rhynchosporium commune,47178489,496,46956288,46474624,42781657,48.59,200203,67,16972,10382,61.17,3424,5246,30.91,3888,96.86,0.0,98.32,0.34,Eukaryota_Fungi_Ascomycota,NAO,MES,0.8-5
